Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Barbados, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, , 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, , 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05
Belarus, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.57, , , , , 0.44, , , , , 0.41, , , , , 0.47, , , 0.49, 0.52, 0.43, 0.43, 0.43, 0.42, 0.37, 0.37
Belarus, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.54, 0.52, 0.49, 0.47, , 0.44, 0.43, 0.42, 0.42, , 0.42, 0.43, 0.45, 0.46, , 0.48, 0.48, , , , , , , , 
Belgium, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 0.36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.05, 0.05, , 
Belgium, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 0.34, 0.31, 0.29, 0.27, 0.24, 0.22, 0.2, 0.18, 0.15, 0.13, 0.11, 0.08, 0.06, 0.04, , 0.01, , 0.02, 0.03, , , , , , , , , , , 0.04, 0.04, , , , , 0.05, , , 0.05, 0.05
Belgium, Agricultural water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.01, , 0.02, , , 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, , , 0.04, 0.04, 0.04, 0.04, , , , , 
Belize, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , 0.02, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Belize, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , , , , , 0.07, , , , , , , , , , , , , , , , , , , , 
Belize, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.02, 0.02, , 0.02, 0.02, , 0.03, 0.03, 0.04, 0.05, 0.05, 0.06, , 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07
Benin, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 0.06, , , , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , 
