Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Bulgaria, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , 1597.06, 1590.33, 1583.75, 1577.77, 1572.99, 1569.85, 1511.22, 1454.05, 1398.58, 1345.11, 862.26, 852.58, 844.31, 836.8, 829.21, 820.87, 811.54, 801.31, 790.29, 778.74, 766.82, 735.52, 837.63, 880.84, 853.39, 849.25, 844.87, 818.57, 848.03, 819.03, 802.65, 865.35, 779.25, 750.06, 741.94, 781.89, 795.48, 796.63, 769.33, 774.56, 730.67
Burkina Faso, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , 37.53, 38.12, 38.64, 39.11, 39.53, 39.88, 40.19, 40.44, 41.38, 42.22, 42.99, 43.67, 44.28, 44.81, 52.92, 60.53, 61.63, 61.55, 61.41, 61.21, 60.95, 59.15, 57.4, 55.69, 54.03, 52.42, 50.86, 49.36, 47.91, 46.51, 45.17, 43.87, 42.62, 41.41, 40.25, 39.13
Burundi, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 19.89, 22.15, 24.29, 26.36, 28.36, 30.31, 32.21, 34.11, 36.03, 37.98, 39.96, 41.88, 43.65, 45.15, 43.89, 42.49, 41, 39.5, 38.03, 36.82, 35.63, 34.47, 33.35, 32.29, 31.27, 30.29, 29.36, 28.45, 27.57, 26.71, 25.87, 25.06, 24.29, 23.56
Cabo Verde, Total water withdrawal per capita, m3/inhab/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , 71.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cabo Verde, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 53.36, 55.31, 57.23, 59.13, 58.31, 57.55, 56.83, 56.15, 55.48, 54.81, 54.12, 53.44, 52.76, 52.1, 51.45, 50.83, 50.23, 49.65, 49.1, 48.56
Cabo Verde, Total water withdrawal per capita, m3/inhab/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , 71.62, 71.62, 71.62, 71.62, 71.62, 71.62, 71.62, 71.62, 71.62, 71.62, , , , , , , , , , , , , , , , , , , , 
Cambodia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 162.05, 159.65, 157.31, 154.96, 152.6, 150.19, 147.76, 145.34, 142.98, 140.71, 138.52, 136.42, 134.4, 132.47, 130.63
Cameroon, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 36.9, 35.83, 34.8, 33.82, 32.89, 32, 36.6, 40.93, 45.03, 48.9, 52.56, 56.02, 59.26, 62.29, 62.2, 62.06, 61.88, 61.65, 61.38, 59.72, 58.11, 56.53, 55, 53.51, 52.06, 50.66, 49.3, 47.99, 46.72, 45.49, 44.31, 43.16, 42.06, 41
Canada, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , 1618.38, 1618.39, 1617.44, 1616.5, 1616.28, 1616.89, 1577.27, 1539.23, 1502.6, 1467.23, 1433.07, 1406.21, 1380.08, 1352.62, 1325.42, 1316.49, 1307.47, 1298.13, 1288.26, 1277.75, 1266.52, 1254.75, 1201.64, 1149.76, 1188.1, 1139.32, 1096.26, 1054.38, 1014.68, 975.94, 981.41, 986.96, 977.54, 968.46, 959.96
Central African Republic, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 7.33, 8.54, 9.69, 10.76, 11.74, 12.64, 13.46, 14.23, 14.96, 15.66, 16.33, 16.98, 17.59, 18.18, 18.12, 18.07, 18.03, 17.99, 17.95, 17.61, 17.27, 16.97, 16.71, 16.53, 16.41, 16.34, 16.3, 16.24, 16.14, 15.98, 15.77, 15.54, 15.28, 15.01
