Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Angola, National Rainfall Index (NRI), mm/year, I, , , , , 1130.33, 1146.67, , 1160.2, 1157.4, 1154.6, 1151.8, , 1131.14, 1113.29, 1095.43, 1077.57, 1059.71, 1041.86, , 1045.5, 1067, 1088.5, , 1113, 1116, 1119, , 1111.5, 1101, 1090.5, , 1091.4, 1102.8, 1114.2, 1125.6, , 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137, 1137
Angola, National Rainfall Index (NRI), mm/year, X, , , , 1114, , , 1163, , , , , 1149, , , , , , , 1024, , , , 1110, , , , 1122, , , , 1080, , , , , 1137, , , , , , , , , , , , , , , , , , , , , 
Antigua and Barbuda, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1030, , , , , , , , , , , , , , , , , , , , 
Antigua and Barbuda, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1030, 1030
Antigua and Barbuda, Long-term average annual precipitation in depth, mm/year, X, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, , 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, , 
Antigua and Barbuda, Long-term average annual precipitation in volume, 10^9 m3/year, E, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, , 
Antigua and Barbuda, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.45, 0.45
Argentina, Long-term average annual precipitation in depth, mm/year, , 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, , 
Argentina, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 591, 591
Argentina, Long-term average annual precipitation in volume, 10^9 m3/year, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , , , , 1643, , 1643, , , 1643, , , 
Argentina, Long-term average annual precipitation in volume, 10^9 m3/year, E, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, 1643.22, 1643.22, 1643.22, , 1643.22, , 1643.22, 1643.22, , 1643.22, , 
Argentina, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1643.22, 1643.22
Argentina, National Rainfall Index (NRI), mm/year, I, 784.69, 787.77, 790.86, 793.94, 797.03, 800.11, , 814.63, 826.05, 837.48, , 859.42, 869.95, 880.48, , 903.93, 916.87, 929.8, 942.73, 955.67, , 966.97, 965.33, 963.7, 962.07, 960.43, , 948.59, 938.37, 928.16, 917.94, 907.73, 897.51, , 922.24, 957.18, 992.12, 1027.06, , 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062, 1062
Argentina, National Rainfall Index (NRI), mm/year, X, , , , , , , 803.2, , , , 848.9, , , , 891, , , , , , 968.6, , , , , , 958.8, , , , , , , 887.3, , , , , 1062, , , , , , , , , , , , , , , , , , 
Armenia, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, , 
Armenia, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 562, 562
Armenia, Long-term average annual precipitation in volume, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, 16.71, , 
Armenia, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 16.71, 16.71
Armenia, National Rainfall Index (NRI), mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 416.2, 426.95, , 416.3, 394.9, 373.5, , 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1, 352.1
Armenia, National Rainfall Index (NRI), mm/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 437.7, , , , 352.1, , , , , , , , , , , , , , , , , , , , , , 
Australia, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 534, , , , , , , , , , , , , , , , , , , , 
Australia, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 534, 534
Australia, Long-term average annual precipitation in depth, mm/year, X, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, , 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, , 
Australia, Long-term average annual precipitation in volume, 10^9 m3/year, E, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, 4133.81, , 
Australia, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4133.81, 4133.81
Australia, National Rainfall Index (NRI), mm/year, I, , 605.86, 615.33, 624.79, 634.25, 643.71, 653.17, 662.64, , 691.38, 710.66, 729.94, 749.22, , 749.73, 730.95, 712.17, , 679.3, 665.2, 651.1, , 648.54, 660.08, 671.62, 683.16, , 684.83, 674.97, 665.1, 655.23, 645.37, , 651.82, 668.14, 684.46, 700.78, , 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1, 717.1
Australia, National Rainfall Index (NRI), mm/year, X, 596.4, , , , , , , , 672.1, , , , , 768.5, , , , 693.4, , , , 637, , , , , 694.7, , , , , , 635.5, , , , , 717.1, , , , , , , , , , , , , , , , , , , 
Austria, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1110, , , , , , , , , , , , , , , , , , , , 
Austria, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1110, 1110
Austria, Long-term average annual precipitation in depth, mm/year, X, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, , 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, , 
Austria, Long-term average annual precipitation in volume, 10^9 m3/year, E, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, 93.11, , 
Austria, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 93.11, 93.11
Austria, National Rainfall Index (NRI), mm/year, I, , 1067, 1059, 1051, 1043, 1035, 1027, 1019, , 1017.6, 1024.2, 1030.8, 1037.4, , 1066, 1088, , 1081.23, 1052.47, 1023.7, 994.93, 966.17, , 947.65, 957.9, 968.15, 978.4, 988.65, , 1020.72, 1042.54, 1064.36, 1086.18, , 1114, 1120, , 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126, 1126
Austria, National Rainfall Index (NRI), mm/year, X, 1075, , , , , , , , 1011, , , , , 1044, , , 1110, , , , , , 937.4, , , , , , 998.9, , , , , 1108, , , 1126, , , , , , , , , , , , , , , , , , , , 
Azerbaijan, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, 447, , 
Azerbaijan, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 447, 447
Azerbaijan, Long-term average annual precipitation in volume, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 38.71, 
Azerbaijan, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 38.71
Azerbaijan, National Rainfall Index (NRI), mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 553.1, 546.65, , 520.08, 499.95, 479.82, , 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7, 459.7
Azerbaijan, National Rainfall Index (NRI), mm/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 540.2, , , , 459.7, , , , , , , , , , , , , , , , , , , , , , 
Bahamas, Long-term average annual precipitation in depth, mm/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1292, , , , , , , , , , , , , , , , , , , , 
Bahamas, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1292, 1292
Bahamas, Long-term average annual precipitation in depth, mm/year, X, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, , 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, 1292, , 
Bahamas, Long-term average annual precipitation in volume, 10^9 m3/year, E, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, 17.93, , 
Bahamas, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 17.93, 17.93
Bahamas, National Rainfall Index (NRI), mm/year, I, , 1137, 1146, 1155, 1164, 1173, 1182, 1191, , 1216, 1232, , 1308, 1368, , 1404, 1380, 1356, 1332, 1308, , 1234.03, 1184.07, 1134.1, 1084.13, 1034.17, , 1076.13, 1168.07, , 1270, 1280, 1290, 1300, 1310, , 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320, 1320
Bahamas, National Rainfall Index (NRI), mm/year, X, 1128, , , , , , , , 1200, , , 1248, , , 1428, , , , , , 1284, , , , , , 984.2, , , 1260, , , , , , 1320, , , , , , , , , , , , , , , , , , , , , 
Bahrain, Long-term average annual precipitation in depth, mm/year, , 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, , 
Bahrain, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 83, 83
Bahrain, Long-term average annual precipitation in volume, 10^9 m3/year, E, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, , 
