Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Azerbaijan, Gross Domestic Product (GDP), current US$, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5297054760, 4169970343, 3421911062, 3080802211, 3176554490, 3962337296, 4446396218, 4581222442, 5272617196, 5707618247, 6236086669, 7276413079, 8680410158, 13245421881, 20981929498, 33049426816, 48851318826, 44292408817, 52905998879, 65952763949, 69679913510, 74160553009, 75239737489, 53076244755, 37867007023, 40866632048, 47112479289, 48174235294, 42607176471
Bahamas, Gross Domestic Product (GDP), current US$, X, 266664054, 300392162, 340000006, 390196086, 444901969, 528137265, 762965055, 790540410, 850048649, 972468120, 1179144440, 1101104088, 1212959869, 1288018707, 1501748179, 1824624083, 2189549043, 2268372957, 2554188014, 2842811439, 3036122483, 3306337382, 3574150547, 3935169678, 4091463142, 4612085023, 4767541687, 4685397547, 4682384800, 4656325033, 4907552998, 5164608418, 5862513960, 6332400000, 6833200000, 7683900000, 8076500000, 8317800000, 8881200000, 8870100000, 9055300000, 9836200000, 10167300000, 10618300000, 10526000000, 9982000000, 10095800000, 10070400000, 10720496826, 10494615186, 11142946352, 11890632576, 11992585733, 12359749424, 12837849402, 13164429143, 9907503061
Bahrain, Gross Domestic Product (GDP), current US$, X, , , , , , , 422003552, 454985468, 575580428, 820273128, 1123155693, 1184510018, 1704610160, 2143884345, 2448582231, 2919845264, 3764309882, 4249495447, 4467526927, 4577031528, 4785937614, 4475022766, 3740429415, 3800396218, 4173233306, 4478281832, 4909130285, 5197557577, 5432210287, 5946492302, 6410106980, 6786968612, 7059043163, 7315426213, 6997873038, 7582447229, 9062906941, 8976207763, 9593509106, 11074822141, 13150166878, 15968726806, 18504758606, 21730012434, 25710874407, 22938220338, 25713271277, 28776609460, 30749332535, 32539557497, 33387686170, 31050638298, 32234974125, 35473785362, 37654023604, 38473717598, 33903884596
Bangladesh, Gross Domestic Product (GDP), current US$, X, 5386054619, 5906636557, 6439687598, 7253575399, 7483685473, 8471006101, 6195774654, 5577824265, 6211617337, 6769905343, 8086909309, 8474735042, 9447322262, 9949540465, 12750957172, 14758225423, 16729233787, 16967808187, 15443050924, 15760530887, 18474003543, 19169047073, 20219807923, 22974397200, 24814782417, 26954551854, 28136571390, 30066722399, 30690544964, 31685289282, 33674743447, 37866029743, 39795982701, 41169352757, 42676520395, 44758115448, 45469586064, 45432923187, 47194755390, 51690437358, 55949962466, 57628097481, 69971619881, 79825872642, 91646940102, 102126496496, 114507797698, 123506292446, 128899307875, 153504934847, 173061569701, 194465981065, 220315832054, 245633488923, 269627615528, 301051101806, 329484193093
Barbados, Gross Domestic Product (GDP), current US$, X, 108383061, 114683045, 123608023, 137103730, 137300000, 154400000, 217984527, 245022768, 280300467, 341996846, 408931502, 480681170, 521708282, 593439439, 664155249, 805288240, 1033561744, 1137545044, 1188551211, 1261835248, 1375374738, 1439341489, 1580355027, 1740242041, 1851034127, 2046876309, 2054700440, 2038240620, 1970028303, 2077925952, 2184662325, 2297053607, 2449281689, 2588836721, 2919042910, 3058799903, 3152105872, 3147208319, 3200677486, 3306959447, 3548807712, 3935512483, 4217450000, 4674000000, 4784950000, 4465650000, 4529930000, 4657700000, 4610095000, 4677250000, 4696345000, 4715005000, 4829320000, 4985965000, 5122900000, 5297950000, 4439724484
Belarus, Gross Domestic Product (GDP), current US$, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 18353482859, 17367951893, 15666312425, 14323710856, 14990947761, 14574579172, 15737046915, 12549067247, 10770187054, 12772736432, 15088618674, 18428403815, 23924384607, 31231983629, 38212092239, 46807243743, 62807178042, 50873190164, 57231905886, 61762342551, 65685908728, 75527534437, 78813050534, 56454777260, 47723549319, 54725418814, 60031035896, 64410169473, 60258856563
Belgium, Gross Domestic Product (GDP), current US$, X, 15960106681, 17371457608, 18651883472, 19992040788, 21376353113, 23710735895, 26706893654, 29821889465, 37209655821, 47743692897, 56034095904, 65676349621, 71114099863, 82838174625, 101250629811, 116316935277, 126832466616, 104728872950, 92092676202, 87182800568, 83348024082, 86265792874, 120020099882, 149396380855, 162305660805, 164221116559, 205329637040, 210507765051, 234791878134, 224715153357, 244894491132, 288029323087, 279195661150, 252704748890, 258522650275, 258151032086, 236204351541, 236539180857, 257169518031, 317369476911, 368553016334, 385561359001, 407897182535, 470300114626, 515242610000, 481316935539, 480951629493, 522645519184, 496181260258, 521642714408, 534678075827, 462149679344, 475739588765, 502764720556, 543273794572, 535288715240, 521861292587
Belize, Gross Domestic Product (GDP), current US$, X, 36194588, 40069932, 44405596, 47379309, 44910181, 47305390, 27917782, 35385285, 46000141, 74809672, 99801545, 115631825, 91148264, 117157470, 133767697, 156357607, 215600751, 213607523, 198492217, 209288864, 233539796, 231657304, 252364721, 306181857, 348704039, 402133603, 448974444, 479094323, 518559700, 560205282, 581269536, 620422500, 641660006, 654582900, 689140012, 732732353, 832072465, 871590369, 932292859, 990727709, 1057653620, 1111453823, 1211148304, 1283112550, 1352588868, 1320605472, 1387925189, 1466822040, 1531348953, 1581844936, 1676406802, 1734320479, 1796928936, 1844906692, 1887465218, 1945250235, 1585631670
Benin, Gross Domestic Product (GDP), current US$, X, 269819006, 289908680, 302925236, 306221953, 326323106, 330748244, 322055483, 341787647, 420920211, 515609659, 553903483, 673957826, 717765317, 785887967, 953850384, 1161734065, 1484452237, 1404274746, 1369643303, 1183358030, 1135586760, 1129578665, 1442809953, 1687767630, 1749715035, 1622703791, 1992948719, 2019866679, 2283484177, 2312835609, 1624969037, 2344819023, 2551690730, 2451384217, 2653251820, 2689779657, 2569196567, 2680246646, 3054599761, 3905302433, 4521331975, 4803672097, 5142319487, 5969435195, 7132859564, 7097232736, 6970254725, 8292591212, 9141570859, 10888941592, 12144877201, 11379544643, 11821065852, 12701655846, 14262408080, 14391686309, 15205070065
Bhutan, Gross Domestic Product (GDP), current US$, X, , , , , , , 61775644, 66328730, 70098481, 78853743, 92846971, 86769539, 88409074, 97826681, 94030714, 105315824, 128593292, 144715922, 152191512, 170819919, 167818612, 172203230, 203764374, 245288277, 264621980, 254214325, 273600042, 233143033, 234703243, 220857694, 259552943, 289135174, 305640640, 356322548, 360373467, 401809192, 439142550, 476396897, 537046607, 621982253, 702736807, 796938571, 874989734, 1168307576, 1227809259, 1234015533, 1547981484, 1777100670, 1781277015, 1756207129, 1907085589, 2003596258, 2158977045, 2450366316, 2446867538, 2530559003, 2483005944
